,Sequence of Events (discontinued) ,SEQ1 ,216
,Sequence of Events (discontinued) ,SEQ2 ,216
,Sequence of Events (discontinued) ,SEQ3 ,216
,Sequence of Events (discontinued) ,SEQ4 ,216
,Sequence of Events (discontinued) ,SEQ5 ,216
,Sequence of Events (discontinued) ,SEQ6 ,216
,Most Damaged Area (discontinued) ,IMPACT2 ,218
,Vehicle Maneuver (discontinued) ,VEH_MAN ,219
,Vehicle Role (discontinued) ,IMPACTS ,220
,Axle (discontinued) ,AXLES ,221
,Motorcycle Type (discontinued) ,MCYCL_TY ,222
,Driver Training (discontinued) ,DR_TRAIN ,226
,Crash Avoidance Maneuver (discontinued) ,AVOID ,227
,Driver’s Vision Obscured by (discontinued) ,D_VISION1 ,228
,Driver’s Vision Obscured by (discontinued) ,D_VISION2 ,228
,Driver’s Vision Obscured by (discontinued) ,D_VISION3 ,228
